                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3122,                 3.6427,                 1.6881,                0.00561,                0.22903,                0.01586,                0.00591,                 1.9972,                 3.9604,                 1.5708,              0.0002625,              0.0002625,              0.0002625
                      2,                 2.0315,                 2.4159,                 1.4167,                0.80752,                0.04326,                0.10653,                0.04039,                 2.0685,                 3.4097,                 1.6438,             0.00053644,             0.00053644,             0.00053644
                      3,                 1.8865,                 2.1033,                 1.3776,                0.29964,                0.21042,                0.23661,                0.08086,                 2.2375,                 2.5554,                 1.6974,             0.00080928,             0.00080928,             0.00080928
                      4,                 1.8052,                  1.942,                 1.3348,                0.25646,                 0.3439,                0.22588,                 0.0813,                 2.0874,                 2.5799,                 1.6389,               0.001081,               0.001081,               0.001081
                      5,                 1.7355,                 1.8305,                 1.3056,                0.32688,                0.27576,                0.27837,                0.11261,                 2.0717,                  2.397,                 1.5549,              0.0012401,              0.0012401,              0.0012401
                      6,                 1.7515,                 1.7944,                 1.3143,                0.31947,                0.35115,                0.25276,                0.08514,                 2.3729,                 2.3775,                 1.6106,              0.0012401,              0.0012401,              0.0012401
                      7,                 1.6893,                 1.6769,                 1.2723,                0.42309,                0.45257,                0.41883,                0.15296,                 2.1706,                 2.1959,                 1.5805,              0.0012376,              0.0012376,              0.0012376
                      8,                  1.642,                 1.5796,                 1.2737,                0.38767,                0.43556,                0.37317,                0.12644,                 2.0657,                 2.0224,                 1.4688,              0.0012351,              0.0012351,              0.0012351
                      9,                  1.625,                 1.5343,                 1.2556,                0.34678,                0.27977,                0.29597,                0.12417,                 2.0037,                 2.1016,                  1.507,              0.0012327,              0.0012327,              0.0012327
                     10,                 1.6261,                 1.5009,                 1.2573,                0.29572,                0.38508,                0.30972,                0.12018,                 2.1148,                 2.0125,                 1.5834,              0.0012302,              0.0012302,              0.0012302
                     11,                 1.5917,                  1.421,                 1.2392,                0.25787,                0.38386,                0.29313,                0.10581,                 2.1409,                 2.2372,                  1.621,              0.0012277,              0.0012277,              0.0012277
                     12,                 1.5902,                 1.4402,                 1.2245,                0.35311,                0.40286,                0.39241,                0.16005,                 2.0531,                 1.7639,                  1.561,              0.0012252,              0.0012252,              0.0012252
                     13,                  1.535,                 1.3703,                 1.2092,                0.40478,                0.45966,                0.44117,                0.17835,                 2.0425,                 1.6931,                 1.4895,              0.0012228,              0.0012228,              0.0012228
                     14,                 1.5519,                 1.3319,                 1.2217,                0.48866,                0.44093,                0.47047,                0.18035,                 2.0047,                 1.7222,                 1.5002,              0.0012203,              0.0012203,              0.0012203
                     15,                 1.4663,                 1.2503,                 1.1779,                0.33395,                 0.3066,                0.28069,                0.10055,                 2.2538,                 2.1254,                 1.5953,              0.0012178,              0.0012178,              0.0012178
                     16,                  1.486,                 1.2452,                 1.1857,                 0.5629,                0.44941,                0.45306,                0.16211,                 2.0573,                  1.731,                 1.5233,              0.0012154,              0.0012154,              0.0012154
