                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1875,                 1.3817,                 1.2277,                 0.6452,                0.55014,                0.61458,                0.45261,                 1.0847,                 1.1175,                 1.1253,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1365,                 1.3698,                 1.2036,                0.67441,                0.57606,                0.63134,                0.46769,                 1.0734,                 1.0904,                 1.1167,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      3,                 1.1837,                 1.2922,                  1.213,                0.69572,                0.56243,                 0.6413,                0.47436,                 1.0663,                 1.0687,                 1.1108,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      4,                 1.1498,                 1.2712,                 1.2119,                0.73833,                0.57254,                0.65646,                 0.4911,                 1.0565,                 1.0424,                 1.1032,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      5,                 1.1124,                 1.2165,                 1.1692,                0.72268,                0.58315,                0.67652,                0.50255,                  1.047,                 1.0193,                 1.0968,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      6,                 1.1509,                 1.2349,                 1.1939,                0.72149,                 0.6154,                0.69036,                0.51139,                 1.0413,                 1.0008,                 1.0948,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      7,                 1.1098,                 1.1808,                  1.158,                0.75425,                0.60525,                0.69284,                0.51602,                 1.0382,                0.99029,                 1.0935,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      8,                 1.1106,                 1.1897,                 1.1624,                0.70224,                0.63855,                0.70669,                0.52326,                 1.0304,                0.97753,                  1.088,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      9,                 1.0808,                 1.1213,                 1.1574,                0.76185,                0.60437,                 0.7068,                0.52883,                  1.026,                0.96396,                 1.0853,             1.7574e-05,             1.7574e-05,             1.7574e-05
                     10,                 1.0886,                 1.1129,                 1.1438,                 0.7606,                0.60677,                0.70807,                0.53084,                 1.0238,                0.96053,                 1.0834,             1.0247e-05,             1.0247e-05,             1.0247e-05
